#id B(AB) err_B V(AB) err_V K(AB) err_K
#Capak et al. 2007
0921-0233866 18.611 0.004 99.000 99.00 17.917 0.009
0920-0223807 19.965 0.007 19.064 0.004 17.811 0.009 
0923-0242837 20.666 0.009 19.953 0.006 18.999 0.031 
0922-0240283 19.791 0.006 18.866 0.003 17.357 0.005
0921-0233505 19.931 0.007 18.875 0.003 16.440 0.010
0924-0246815 20.169 0.007 19.209 0.004 17.650 0.008
0921-0233821 18.982 0.004 18.683 0.003 18.939 0.024
0922-0240373 20.014 0.007 19.432 0.004 19.141 0.030
0924-0247132 19.749 0.006 19.399 0.004 19.668 0.064
0924-0247158 19.782 0.006 19.002 0.004 17.940 0.011
0922-0240370 22.274 0.019 21.192 0.010 17.920 0.009
0920-0223751 20.930 0.010 19.893 0.005 17.503 0.007
0921-0233694 19.806 0.006 18.838 0.003 17.648 0.009
0923-0242716 20.086 0.007 20.017 0.006 21.002 0.184
0922-0240219 19.829 0.006 19.116 0.004 18.172 0.012
0922-0240152 19.213 0.005 18.645 0.003 18.124 0.010

