#id B(AB) err_B V(AB) err_V K(AB) err_K
#Capak et al. 2007
0917-0197180 19.767 0.006 18.822 0.003 17.311 0.006
0916-0192385 20.077 0.007 18.939 0.004 16.617 0.003
0918-0211663 20.173 0.007 19.145 0.004 17.525 0.008
0919-0216251 20.291 0.008 19.140 0.004 16.986 0.005
0919-0216144 19.585 0.006 19.382 0.004 19.777 0.062
0918-0211551 18.927 0.004 18.559 0.003 18.481 0.021
0918-0211721 20.213 0.007 19.379 0.004 18.237 0.018
0919-0216322 19.795 0.006 18.916 0.004 17.584 0.009
0919-0216180 19.826 0.006 18.770 0.003 16.690 0.004
0917-0197013 20.418 0.008 19.444 0.004 17.690 0.009
0917-0197031 99.000 99.00 99.000 99.00 17.237 0.007
0919-0216102 18.975 0.004 18.757 0.003 19.136 0.030
0916-0192151 20.097 0.007 19.496 0.004 18.820 0.018
0916-0192154 20.078 0.007 19.105 0.004 17.670 0.007
0917-0196902 20.101 0.007 19.029 0.004 16.709 0.003
0918-0211407 20.372 0.008 19.743 0.005 18.922 0.021
